date_de_tirage;boule_1;boule_2;boule_3;boule_4;boule_5;numero_chance;boule_1_second_tirage;boule_2_second_tirage;boule_3_second_tirage;boule_4_second_tirage;boule_5_second_tirage;
04/06/2022;9;23;17;42;6;5;13;37;42;43;44;
06/06/2022;20;5;22;23;18;5;1;4;16;18;49;
08/06/2022;38;33;39;27;26;5;17;30;46;47;49;
11/06/2022;7;28;4;11;10;8;6;12;24;26;36;
13/06/2022;44;45;46;43;31;10;7;22;31;37;44;
15/06/2022;11;37;44;13;21;6;1;23;30;32;47;
18/06/2022;31;1;12;32;28;9;9;26;30;31;38;
20/06/2022;27;47;23;48;14;3;16;23;37;41;45;
22/06/2022;17;40;10;27;23;2;11;18;22;35;43;
25/06/2022;2;47;40;31;49;9;2;4;19;31;45;
27/06/2022;34;31;36;24;37;1;8;13;14;30;46;
29/06/2022;16;47;43;24;26;9;3;10;25;37;44;
02/07/2022;32;20;22;46;34;9;6;14;38;41;42;
04/07/2022;18;20;4;12;26;8;3;13;32;37;44;
06/07/2022;43;16;10;25;44;4;7;12;15;23;38;
09/07/2022;37;24;34;9;8;2;4;5;8;33;38;
11/07/2022;10;5;49;47;1;1;10;12;22;25;36;
13/07/2022;30;48;7;31;46;3;4;9;21;31;33;
16/07/2022;3;33;4;49;14;3;9;13;19;45;48;
18/07/2022;18;29;49;37;5;8;22;29;30;42;45;
20/07/2022;29;21;31;47;17;4;24;34;35;46;47;
23/07/2022;15;47;39;25;41;9;3;23;37;43;44;
25/07/2022;26;42;13;7;24;2;4;5;19;43;48;
27/07/2022;13;43;31;47;46;10;21;25;28;33;41;
30/07/2022;14;21;24;2;38;6;5;12;17;22;23;
01/08/2022;38;1;4;23;30;6;15;24;36;45;47;
03/08/2022;45;10;5;40;32;5;10;14;23;28;31;
06/08/2022;37;28;23;38;6;1;2;21;29;38;44;
08/08/2022;41;22;3;37;40;2;8;10;16;26;35;
10/08/2022;15;35;11;28;9;2;11;16;32;40;41;
13/08/2022;17;38;37;11;39;2;28;34;36;38;41;
15/08/2022;34;4;48;42;22;3;18;19;25;43;47;
17/08/2022;16;5;14;29;17;3;13;31;34;42;43;
20/08/2022;21;38;17;1;46;2;3;20;28;44;46;
22/08/2022;39;46;2;9;44;9;1;4;10;21;25;
24/08/2022;39;42;36;27;22;10;1;4;10;26;33;
27/08/2022;32;39;22;11;34;3;11;15;32;37;49;
